"Plot Title: 2021_3_21_b"
"#","Date Time, GMT-10:00","Temp, °F (LGR S/N: 10834020, SEN S/N: 10834020, LBL: <C6>)","Intensity, lum/ft² (LGR S/N: 10834020, SEN S/N: 10834020)","Coupler Detached (LGR S/N: 10834020)","Coupler Attached (LGR S/N: 10834020)","Host Connected (LGR S/N: 10834020)","Stopped (LGR S/N: 10834020)","End Of File (LGR S/N: 10834020)"
352,03/21/22 02:08:52 PM,86.097,384.0,,,,,
353,03/21/22 02:09:22 PM,86.097,480.0,,,,,
354,03/21/22 02:09:52 PM,86.459,1152.0,,,,,
355,03/21/22 02:10:22 PM,86.459,416.0,,,,,
356,03/21/22 02:10:52 PM,86.459,352.0,,,,,
357,03/21/22 02:11:22 PM,86.277,240.0,,,,,
358,03/21/22 02:11:52 PM,85.735,0.0,,,,,
359,03/21/22 02:12:22 PM,85.554,0.0,,,,,
360,03/21/22 02:12:52 PM,85.374,0.0,,,,,
361,03/21/22 02:13:22 PM,85.194,0.0,,,,,
362,03/21/22 02:13:52 PM,85.194,0.0,,,,,
363,03/21/22 02:14:22 PM,85.014,0.0,,,,,
364,03/21/22 02:14:52 PM,85.014,0.0,,,,,
365,03/21/22 02:15:22 PM,85.014,0.0,,,,,
366,03/21/22 02:15:52 PM,84.834,0.0,,,,,
367,03/21/22 02:16:22 PM,84.834,0.0,,,,,
368,03/21/22 02:16:52 PM,84.834,0.0,,,,,
369,03/21/22 02:17:22 PM,84.834,0.0,,,,,
370,03/21/22 02:17:52 PM,84.834,0.0,,,,,
371,03/21/22 02:18:22 PM,84.654,0.0,,,,,
372,03/21/22 02:18:52 PM,84.654,0.0,,,,,
373,03/21/22 02:19:22 PM,84.654,0.0,,,,,
374,03/21/22 02:19:52 PM,84.654,1.0,,,,,
375,03/21/22 02:20:22 PM,84.654,0.0,,,,,
376,03/21/22 02:20:52 PM,84.654,0.0,,,,,
377,03/21/22 02:21:22 PM,84.654,0.0,,,,,
378,03/21/22 02:21:52 PM,84.654,0.0,,,,,
379,03/21/22 02:22:22 PM,84.654,0.0,,,,,
380,03/21/22 02:22:52 PM,84.654,0.0,,,,,
